the	1.0000
be	0.9500
to	0.9400
of	0.9300
and	0.9200
a	0.9100
in	0.9000
is	0.8500
that	0.8500
have	0.8400
i	0.8300
it	0.8200
for	0.8100
not	0.8000
on	0.7900
with	0.7800
he	0.7700
as	0.7600
you	0.7500
do	0.7400
at	0.7300
can	0.7200
this	0.7200
but	0.7100
are	0.7000
his	0.7000
just	0.7000
me	0.7000
some	0.7000
by	0.6900
from	0.6800
your	0.6800
they	0.6700
we	0.6600
give	0.6500
her	0.6500
she	0.6400
or	0.6300
an	0.6200
will	0.6100
my	0.6000
was	0.6000
one	0.5900
all	0.5800
would	0.5700
there	0.5600
could	0.5500
has	0.5500
their	0.5500
what	0.5400
so	0.5300
up	0.5200
out	0.5100
am	0.5000
had	0.5000
if	0.5000
into	0.5000
say	0.5000
should	0.5000
about	0.4900
who	0.4800
get	0.4700
which	0.4600
because	0.4500
go	0.4500
now	0.4500
were	0.4500
when	0.4400
make	0.4300
like	0.4200
time	0.4100
been	0.4000
build	0.4000
did	0.4000
does	0.4000
here	0.4000
how	0.4000
love	0.4000
made	0.4000
more	0.4000
new	0.4000
no	0.4000
something	0.4000
work	0.4000
him	0.3900
know	0.3800
take	0.3700
people	0.3600
before	0.3500
being	0.3500
building	0.3500
got	0.3500
may	0.3500
move	0.3500
our	0.3500
please	0.3500
these	0.3500
thing	0.3500
use	0.3500
very	0.3500
where	0.3500
word	0.3500
working	0.3500
writing	0.3500
year	0.3500
good	0.3400
them	0.3300
see	0.3200
other	0.3100
again	0.3000
always	0.3000
another	0.3000
any	0.3000
case	0.3000
change	0.3000
create	0.3000
data	0.3000
day	0.3000
design	0.3000
file	0.3000
first	0.3000
full	0.3000
gave	0.3000
help	0.3000
keep	0.3000
last	0.3000
message	0.3000
might	0.3000
much	0.3000
name	0.3000
never	0.3000
next	0.3000
nothing	0.3000
open	0.3000
part	0.3000
really	0.3000
same	0.3000
start	0.3000
still	0.3000
system	0.3000
text	0.3000
than	0.3000
things	0.3000
those	0.3000
through	0.3000
type	0.3000
us	0.3000
want	0.3000
while	0.3000
why	0.3000
then	0.2900
look	0.2800
well	0.2800
only	0.2700
way	0.2700
come	0.2600
even	0.2600
already	0.2500
anything	0.2500
app	0.2500
around	0.2500
based	0.2500
between	0.2500
both	0.2500
changes	0.2500
close	0.2500
code	0.2500
common	0.2500
complete	0.2500
current	0.2500
different	0.2500
each	0.2500
else	0.2500
every	0.2500
everything	0.2500
example	0.2500
form	0.2500
friend	0.2500
high	0.2500
include	0.2500
information	0.2500
issue	0.2500
its	0.2500
key	0.2500
language	0.2500
large	0.2500
left	0.2500
less	0.2500
letter	0.2500
line	0.2500
list	0.2500
local	0.2500
long	0.2500
looks	0.2500
low	0.2500
making	0.2500
most	0.2500
number	0.2500
often	0.2500
own	0.2500
page	0.2500
place	0.2500
point	0.2500
problem	0.2500
process	0.2500
right	0.2500
short	0.2500
small	0.2500
source	0.2500
space	0.2500
stop	0.2500
support	0.2500
test	0.2500
today	0.2500
update	0.2500
user	0.2500
value	0.2500
week	0.2500
window	0.2500
without	0.2500
over	0.2400
